2048_libretro.so;2048;
81_libretro.so;EightyOne;
DoubleCherryGB_libretro.so;DoubleCherryGB;
a5200_libretro.so;a5200;
arduous_libretro.so;arduous;
atari800_libretro.so;Atari800;
bash_launcher_libretro.so;
bk_libretro.so;
bluemsx_libretro.so;blueMSX;
bnes_libretro.so;bnes;
cannonball_libretro.so;Cannonball;
cap32_libretro.so;cap32;
chailove_libretro.so;ChaiLove;
craft_libretro.so;Craft;
crocods_libretro.so;crocods;
daphne_libretro.so;Daphne;
km_daphne_xtreme_libretro.so;Daphne Xtreme;
desmume2015_libretro.so;DeSmuME 2015;
dinothawr_libretro.so;Dinothawr;
dosbox_libretro.so;DOSBox;
dosbox_pure_libretro.so;DOSBox-pure;
dosbox_svn_libretro.so;
duckstation_libretro.so;DuckStation;
easyrpg_libretro.so;EasyRPG Player;
ecwolf_libretro.so;ecwolf;
ep128emu_core_libretro.so;ep128emu;
fake08_libretro.so;fake-08;
fbalpha2012_cps1_libretro.so;FB Alpha 2012 CPS-1;
fbalpha2012_cps2_libretro.so;FB Alpha 2012 CPS-2;
fbalpha2012_cps3_libretro.so;FB Alpha 2012 CPS-3;
fbalpha2012_libretro.so;FB Alpha 2012;
fbalpha2012_neogeo_libretro.so;FB Alpha 2012 Neo Geo;
fbalpha_libretro.so;FB Alpha 2012;
fbneo_libretro.so;FinalBurn Neo;
fceumm_libretro.so;FCEUmm;
fceunext_libretro.so;FCEUmm;
fly_flycast_libretro.so;Flycast;
flycast_libretro.so;Flycast;
flycast_rumble_libretro.so;Flycast;
fmsx_libretro.so;fMSX;
freechaf_libretro.so;FreeChaF;
freeintv_libretro.so;FreeIntv;
freej2me_libretro.so;
fuse_libretro.so;fuse;
gambatte_gb_libretro.so;Gambatte;
gambatte_libretro.so;Gambatte;
gearboy_libretro.so;Gearboy;
gearcoleco_libretro.so;Gearcoleco;
gearsystem_libretro.so;Gearsystem;
genesis_plus_gx_libretro.so;Genesis Plus GX;
genesis_plus_gx_wide_libretro.so;Genesis Plus GX;
geolith_libretro.so;Geolith;
gme_libretro.so;Game Music Emulator;
gpsp_libretro.so;gpSP;
gw_libretro.so;Game & Watch;
handy_libretro.so;Handy;
hatari_libretro.so;Hatari;
imageviewer_libretro.so;image display;
km_mame2003_xtreme_amped_libretro.so;MAME 2003-Xtreme;
libfceumm.so;
libmgba.so;
lowresnx_libretro.so;LowRes NX;
lutro_libretro.so;lutro;
mame2000_libretro.so;MAME 2000;
mame2003_libretro.so;MAME 2003 (0.78);
mame2003_plus_libretro.so;MAME 2003-Plus;
mame2010_libretro.so;MAME 2010;
mame2015_libretro.so;MAME 2015;
mame_libretro.so;MAME;
mamearcade2016_libretro.so;MAME 2016;
mamearcade_libretro.so;MAME;
mednafen_gba_libretro.so;Beetle GBA;
mednafen_gba_libretro_libretro.so;Beetle GBA;
mednafen_lynx_libretro.so;Beetle Lynx;
mednafen_ngp_libretro.so;Beetle NeoPop;
mednafen_pce_fast_libretro.so;Beetle PCE Fast;
mednafen_pcfx_libretro.so;Beetle PC-FX;
mednafen_supafaust_libretro.so;Supafaust;
mednafen_supergrafx_libretro.so;Beetle SuperGrafx;
mednafen_vb_libretro.so;Beetle VB;
mednafen_wswan_libretro.so;Beetle WonderSwan;
melonds_libretro.so;melonDS;
mesen_libretro.so;Mesen;
mess2015_libretro.so;MESS 2015;
mess_libretro.so;MAME;
meteor_libretro.so;Meteor GBA;
mgba_libretro.so;mGBA;
mgba_rumble_libretro.so;/mGBA;
minivmac_libretro.so;Mini vMac;
mpv_libretro.so;
mrboom_libretro.so;Mr.Boom;
mu_libretro.so;Mu;
mupen64plus_libretro.so;Mupen64Plus GLES2;
mupen64plus_next_libretro.so;
nekop2_libretro.so;Neko Project II;
neocd_libretro.so;NeoCD;
nestopiaCV_libretro.so;
nestopia_libretro.so;Nestopia;
np2kai_libretro.so;Neko Project II kai;
numero_libretro.so;Numero;
nxengine_libretro.so;NXEngine;
o2em_libretro.so;O2EM;
onscripter_libretro.so;onscripter;
opera_libretro.so;Opera;
parallel_n64_libretro.so;ParaLLEl N64;
pcsx_rearmed_libretro.so;PCSX-ReARMed;
pcsx_rearmed_libretro_old.so;PCSX-ReARMed;
pcsx_rearmed_libretro_shaun.so;PCSX-ReARMed;
pcsx_rearmed_rumble_libretro.so;PCSX-ReARMed;
picodrive_libretro.so;PicoDrive;
pokemini_libretro.so;PokeMini;
potator_libretro.so;Potator;
ppsspp_libretro.so;PPSSPP;
prboom_libretro.so;PrBoom;
prosystem_libretro.so;ProSystem;
puae2021_libretro.so;PUAE 2021;
puae_libretro.so;PUAE;
px68k_libretro.so;PX68K;
quasi88_libretro.so;QUASI88;
quicknes_libretro.so;QuickNES;
race_libretro.so;RACE;
reminiscence_libretro.so;REminiscence;
retro8_libretro.so;retro-8 (alpha);
same_cdi_libretro.so;
sameboy_libretro.so;SameBoy;
sameduck_libretro.so;;
scummvm_libretro.so;scummvm;
scummvm_libretro1.so;scummvm;
snes9x2002_libretro.so;Snes9x 2002;
snes9x2005_libretro.so;Snes9x 2005;
snes9x2005_plus_libretro.so;Snes9x 2005 Plus;
snes9x2010_libretro.so;Snes9x 2010;
snes9x_libretro.so;Snes9x;
snes9x_next_libretro.so;
squirreljme_libretro.so;
stella2014_libretro.so;Stella 2014;
stella_libretro.so;Stella;
superflappybirds_libretro.so;Super Flappy Birds;
swanstation_libretro.so;SwanStation;
tgbdual_libretro.so;TGB Dual;
theodore_libretro.so;theodore;
tic80_libretro.so;TIC-80;
tyrquake_libretro.so;TyrQuake;
uae4arm_libretro.so;uae4arm;
uzem_libretro.so;Uzem;
vba_next_libretro.so;VBA Next;
vbam_libretro.so;VBA-M;
vecx_libretro.so;VecX;
vemulator_libretro.so;VeMUlator;
vice_x128_libretro.so;VICE x128;
vice_x64_libretro.so;VICE x64;
vice_x64dtv_libretro.so;
vice_x64sc_libretro.so;VICE x64sc;
vice_xcbm2_libretro.so;VICE xcbm2;
vice_xcbm5x0_libretro.so;VICE xcbm5x0;
vice_xpet_libretro.so;VICE xpet;
vice_xplus4_libretro.so;VICE xplus4;
vice_xscpu64_libretro.so;VICE xscpu64;
vice_xvic_libretro.so;VICE xvic;
virtualjaguar_libretro.so;Virtual Jaguar;
wasm4_libretro.so;WASM-4;
x1_libretro.so;x1;
xrick_libretro.so;xrick;
yabasanshiro_libretro.so;YabaSanshiro;
yabause_libretro.so;Yabause;
zc210_libretro.so;Zelda Classic v2.10;